Directors,Title
"Ethan Coen,Joel Coen",5
Ethan Hawke,1
Ethan Wiley,1
Eugene Corr,1
Eugene Jarecki,1
Eugene Kotlyarenko,1
Eugenio Derbez,1
Euzhan Palcy,1
Eva Husson,1
Eva Orner,1
Eva Trobisch,1
Eva Vives,1
Evan Glodell,1
"Evan Goldberg,Seth Rogen",1
Everardo Gout,1
Evgeny Afineevsky,2
F. Gary Gray,1
F.W. Murnau,1
Fab 5 Freddy,1
"Fabio Guaglione,Fabio Resinaro",1
Fabrice du Welz,2
Fabrizio Conte,1
Famke Janssen,1
Farah Khan,2
Faruk Aksoy,1
Fatih Akin,1
"Fatih Akin,Yvan Attal,Randall Balsmeyer,Allen Hughes,Shunji Iwai,Wen Jiang,Shekhar Kapur,Joshua Marston,Mira Nair,Natalie Portman,Brett Ratner",1
Federico D'Alessandro,1
Federico Fellini,2
Federico Veiroj,2
Fedor Bondarchuk,1
Felipe Bragança,1
Felix Thompson,1
Felix van Groeningen,2
"Fenton Bailey,Randy Barbato",1
Ferenc Török,1
Fernando Coimbra,1
Fernando Eimbcke,1
Fernando González Molina,2
Fernando Lebrija,1
Fernando León de Aranoa,1
Fernando Meirelles,1
Fielder Cook,1
Fisher Stevens,1
Fletcher Markle,1
Florent-Emilio Siri,1
Floria Sigismondi,1
Florian Gallenberger,1
Florian Habicht,1
Florian Henckel von Donnersmarck,1
Florin Serban,1
Forest Whitaker,1
Fran Strine,1
"Francesco Cinquemani,George Gallo",1
Francesco Lettieri,1
Francesco Munzi,1
Francesco Patierno,1
Francis Ford Coppola,5
Francis Glebas,1
Francis dela Torre,1
Francisco Vargas,1
Franck Ribière,1
Frank Borzage,1
Frank Capra,2
Frank Coraci,2
Frank Darabont,1
Frank Harper,1
Frank Marshall,1
"Frank Miller,Robert Rodriguez,Quentin Tarantino",1
Frank Nissen,2
Frank Oz,2
Frank Perry,2
Frank Pierson,1
Frank Powell,1
Frank R. Strayer,1
Frank Whaley,1
Franklin J. Schaffner,1
Franny Armstrong,1
Frant Gwo,1
François Ozon,2
"François Simard,Anouk Whissell,Yoann-Karl Whissell",1
Fred Dekker,1
Fred Durst,2
Fred Schepisi,2
Fred Walton,1
Fred Wolf,1
Freddie Francis,3
Frederick Wiseman,1
Fredrik Bond,1
Fritz Böhm,1
Fritz Kiersch,2
Fritz Lang,1
Fro Rojas,1
"Fruit Chan,Takashi Miike,Chan-wook Park",1
Frédéric Tcheng,1
Fumihiko Sori,1
Gabe Ibáñez,1
Gabe Polsky,1
Gabe Torres,1
"Gabriel Clarke,Torquil Jones",1
Gabriel Cowan,1
Gabriela Cowperthwaite,2
Gabriele Mainetti,1
Gabriele Muccino,1
Gaby Dellal,1
Galder Gaztelu-Urrutia,1
Galt Niederhoffer,1
Gareth Carrivick,1
Gareth Edwards,2
Gareth Evans,2
Gareth Lewis,1
Garrett Batty,1
Garrett Zevgetis,1
Garry Marshall,5
Gary Chapman,1
Gary Entin,1
Gary Fleder,1
Gary J. Tunnicliffe,1
Gary Lundgren,1
Gary Michael Schultz,1
Gary Nelson,1
Gary Sherman,1
"Gary Trousdale,Kirk Wise",2
Gary Winick,1
Gaspar Noé,1
Gastón Duprat,1
"Gastón Duprat,Mariano Cohn",1
Gauravv K. Chawla,1
Gauri Shinde,1
Gavin Fitzgerald,1
Gavin Millar,1
Gavin O'Connor,3
Gaylen Ross,1
"Geeta Patel,Ravi Patel",1
Gene Graham,1
Genndy Tartakovsky,1
Geoffrey Fletcher,1
"Geoffrey Orthwein,Andrew Sullivan",1
Geoffrey Sax,1
Geoffrey Smith,1
Georg Wilhelm Pabst,1
George A. Romero,3
George Butler,1
George C. Wolfe,1
George Casey,1
George Cukor,1
George Gallo,3
George Hickenlooper,5
George Lucas,3
George P. Cosmatos,1
George Ratliff,1
George Scribner,1
George Seaton,1
George Stevens,2
"George Stevens,David Lean,Jean Negulesco",1
George Tillman Jr.,1
Georges Hachem,1
Georges Méliès,1
Georgina Garcia Riedel,1
Gerald Fox,1
Gerald Kargl,1
Gerard Barrett,1
Gerard McMurray,1
Gerardo Olivares,1
Gia Coppola,1
Gianni Di Gregorio,2
Gideon Raff,1
Gil Kenan,1
Gille Klabin,1
Gilles Paquet-Brenner,2
Gilles Penso,1
Gilles de Maistre,1
Gillian Armstrong,1
Gillian Grisman,1
Gillian Robespierre,3
Gillies MacKinnon,3
Gina Kim,1
Gina Prince-Bythewood,1
Gini Reticker,1
Giulio Petroni,1
Giuseppe Capotondi,1
Giuseppe Tornatore,1
Glenn Gaylord,1
Glenn Gers,1
Godfrey Cheshire,1
Gonzalo López-Gallego,3
Gordon Hessler,1
Gore Verbinski,6
Gorman Bechard,1
Grant Baldwin,1
Grant Scicluna,1
Grant Sputore,1
"Grayson Moore,Aidan Shipley",1
Greg Barker,3
Greg Berlanti,1
Greg Campbell,1
Greg Kwedar,1
Greg MacGillivray,2
Greg McLean,1
Greg Mottola,1
"Greg Palast,David Ambrose",1
Greg Whiteley,2
Gregor Jordan,1
Gregori Viens,2
Gregory Caruso,1
Gregory Hatanaka,1
Gregory La Cava,1
Gregory Marquette,1
Gregory Widen,1
Greta Gerwig,1
Greta Schiller,1
Greydon Clark,1
Griffin Dunne,1
Guillermo del Toro,1
Gurinder Chadha,2
Guru Dutt,1
Gurvinder Singh,1
Gus Van Sant,5
Gustav Machatý,1
Gustav Möller,1
Gustavo Hernández,1
Gustavo Taretto,1
Guy Browning,1
Guy Hamilton,2
"Guy Maddin,Evan Johnson",1
Guy Nattiv,1
Guy Ritchie,1
Guy-Roger Duvert,1
Guðmundur Arnar Guðmundsson,1
Gérard Pirès,1
H. Bruce Humberstone,1
Hadi Hajaig,1
"Hae Young Jung,Young Kyun Park,Jhonen Vasquez",1
Hae-Young Lee,1
Hafsteinn Gunnar Sigurðsson,1
Haifaa Al-Mansour,2
Hal Ashby,1
Hal Walker,1
Hallie Meyers-Shyer,1
Han Han,1
Hank Rogerson,1
Hannah Fidell,2
Hannes Holm,1
Hans Canosa,1
Hans Herbots,1
Hans Petter Moland,1
Hao Wu,1
Hao Zhou,1
"Haoling Li,Yoshitaka Takeuch,Xiaoxing Yi",1
Harald Zwart,2
Hari Sama,1
Haritz Zubillaga,1
Hark Tsui,3
Harley Cokeliss,2
Harmony Korine,1
Harold Becker,1
Harold Cronk,2
Harold Crooks,1
Harold Guskin,1
Harold Ramis,1
Harris Doran,1
Harris Goldberg,1
Harrison Atkins,1
"Harry Elfont,Deborah Kaplan",2
Harry Kümel,1
Harry Winer,1
Harshavardhan Kulkarni,1
Harvey Glazer,1
Hatem Khraiche,1
Havana Marking,1
Hayao Miyazaki,1
Heather Graham,1
Heather Lenz,1
Heather Rae,1
"Heidi Brandenburg,Mathew Orzel",1
"Heidi Ewing,Rachel Grady",2
Helena Bergström,1
Helene Hegemann,1
"Hendel Butoy,Mike Gabriel",1
Henri-Georges Clouzot,1
Henrik Ruben Genz,1
"Henry Alex Rubin,Dana Adam Shapiro",1
Henry Cornelius,1
Henry Dunham,1
Henry Hathaway,1
Henry Jaglom,5
"Henry Joost,Ariel Schulman",2
"Henry King,Roy Ward Baker",1
Henry Koster,2
Henry Selick,2
Hepi Mita,1
Herb Freed,1
Herbert J. Biberman,1
Herk Harvey,1
Herman Yau,1
Herschel Faber,1
"Hideaki Anno,Kazuya Tsurumaki",1
Hikari,1
"Hilla Medalia,Shosh Shlam",1
Hiro Murai,1
Hirokazu Koreeda,3
"Hiromasa Yonebayashi,Giles New",1
"Hiroshi Aoyama,Kazumi Fukushima,Jim Stenstrum",1
Hiroshi Katagiri,1
Hiroyuki Okiura,1
Hiroyuki Seshita,1
Hlynur Palmason,1
Ho-Cheung Pang,1
Holger Tappe,1
Hong-jin Na,2
Hope Dickson Leach,1
Houda Benyamina,1
Howard Deutch,3
Howard Goldberg,1
Howard Hawks,2
"Howard Hughes,Howard Hawks",1
Howard R. Cohen,1
Howard Zieff,1
Howy Parkins,1
Hoyt Yeatman,1
Hsiao-Hsien Hou,1
Hsin-yao Huang,1
Hu Guan,1
"Huck Botko,Andrew Gurland",1
Hugh Wilson,1
Hun Jang,1
"Hunter Hill,Perry Moore",1
Hèctor Hernández Vicens,1
"Hélène Cattet,Bruno Forzani",1
"Iain Forsyth,Jane Pollard",1
"Ian Bonhôte,Peter Ettedgui",1
Ian Cheney,1
"Ian Daniel,Ellen Page",1
Ian Edelman,1
Ian Fitzgibbon,1
Ian MacAllister McDonald,1
Ian Samuels,1
"Ice-T,Andy Baybutt",1
Icíar Bollaín,1
Ida Lupino,1
Idris Elba,1
Ignacio Ferreras,1
"Igor Kovalyov,Norton Virgien",1
Ildikó Enyedi,1
Ilinca Calugareanu,1
"Ilya Khrzhanovskiy,Jekaterina Oertel",1
Imtiaz Ali,4
Ingmar Bergman,1
Ingrid Jungermann,1
Ira Sachs,1
Iram Haq,1
Irvin Kershner,1
"Irving Pichel,Ernest B. Schoedsack",1
"Irving Pichel,Walter Lantz,Dick Lundy,Don Patterson,Paul J. Smith",1
Irwin Winkler,2
Isaac Florentine,1
Isaac Gabaeff,1
Isabel Coixet,2
Isamu Imakake,1
Isao Takahata,1
Ismael Rodríguez,1
Isold Uggadottir,1
Israel Adrián Caetano,2
Israel Luna,1
Ivan Kavanagh,2
Ivan Passer,2
Ivan Reitman,4
Ivan Sen,2
J. Davis,1
J.C. Chandor,2
J.C. Khoury,1
J.D. Dillard,1
J.J. Abrams,3
"J.J. Englert,Robert Krantz",1
J.P. Chan,1
J.P. Schaefer,1
Jack Baran,1
Jack Bryan,2
Jack C. Newell,1
Jack Clayton,1
Jack Donohue,1
Jack Fisk,1
Jack Gold,2
Jack Heller,1
Jack Hill,3
"Jack Kinney,Hamilton Luske,William Morgan,Bill Roberts",1
Jack Nicholson,1
Jack Perez,2
Jack Zagha Kababie,1
Jackson Stewart,1
Jaco Van Dormael,1
Jacob Kornbluth,1
Jacob Tierney,1
Jacob Vaughan,1
Jacques Audiard,1
Jacques Deray,1
"Jacques Perrin,Jacques Cluzaud",1
Jacques Rivette,1
Jacques Tourneur,1
Jake Goldberger,2
Jake Mahaffy,1
Jake Paltrow,1
Jake Schreier,1
Jake Scott,1
Jake Szymanski,1
Jalmari Helander,1
"James Algar,Clyde Geronimi,Jack Kinney",1
"James Algar,Gaëtan Brizzi,Paul Brizzi,Hendel Butoy,Francis Glebas,Eric Goldberg,Don Hahn,Pixote Hunt",1
"James Algar,Samuel Armstrong,David Hand,Graham Heid,Bill Roberts,Paul Satterfield,Norman Wright,Arthur Davis,Clyde Geronimi",1
"James Algar,Samuel Armstrong,Ford Beebe Jr.,Norman Ferguson,David Hand,Jim Handley,T. Hee,Wilfred Jackson,Hamilton Luske,Bill Roberts,Paul Satterfield,Ben Sharpsteen",1
James Bird,1
James Bobin,1
James Bridges,1
"James Cameron,Steven Quale",1
"James Cruze,Erich von Stroheim",1
James Cullen Bressack,1
James Cullingham,1
James Dearden,1
James E. Duff,1
James Edward Grant,1
James Erskine,1
James Franco,6
James Frawley,1
James Gardner,1
James Gray,3
James Griffiths,1
James Gunn,2
James Ivory,1
James Kerwin,1
James L. Brooks,2
James Landis,1
James Lapine,1
"James Lebrecht,Nicole Newnham",1
James Mangold,1
James Mark,1
James Marsh,2
James McTeigue,1
James Morrison,1
James Neilson,1
James Nguyen,1
James Ojala,1
James Ponsoldt,3
James Rasin,1
James Roday,1
James Sbardellati,1
James Steven Sadwith,1
James Toback,1
James Wan,2
James Ward Byrkit,1
James Watkins,2
James Wong,2
James Yukich,1
Jamie Babbit,2
Jamie Jones,1
Jamie Linden,1
Jamie M. Dagg,1
Jamin Winans,1
Jan Kounen,1
Jan-Ole Gerster,1
Jane Campion,1
Jane Weinstock,1
Janice Engel,1
Janicza Bravo,1
Janina Quint,1
Janus Metz,1
Jared Hess,2
"Jared Martin,Robert Mrazek",1
Jared Moshe,1
Jared Stern,1
Jason Alexander,1
Jason Bloom,1
Jason Cabell,1
"Jason Cohn,Bill Jersey",1
Jason DaSilva,1
Jason DeVan,1
Jason Headley,1
Jason James,1
Jason Krawczyk,1
"Jason Kwan,Jing Wong,Aman Chang",1
Jason Lei Howden,1
Jason Orley,2
Jason Reitman,2
Jason Rosette,1
Jason Spingarn-Koff,1
Jason Stone,2
Jason Strouse,1
Jason Todd Ipson,1
Jason Wise,2
Jaume Collet-Serra,1
Javier Ruiz Caldera,1
Jay Alaimo,1
Jay Baruchel,1
Jay Chandrasekhar,1
Jay Chapman,1
Jay Craven,2
Jay Dockendorf,1
"Jay Duplass,Mark Duplass",1
Jay Karas,3
Jay Roach,8
Jay Russell,1
Jaymes Thompson,1
Je-kyu Kang,1
Jean Negulesco,1
Jean Renoir,2
Jean Yarbrough,1
Jean-Baptiste Andrea,1
Jean-Christophe Jeauffre,1
Jean-François Richet,1
Jean-Jacques Annaud,1
"Jean-Loup Felicioli,Alain Gagnol",1
Jean-Marc Vallée,1
Jean-Paul Rappeneau,1
Jean-Pierre Jeunet,1
Jean-Pierre Limosin,1
Jean-Pierre Melville,1
Jean-Stéphane Sauvaire,1
Jeannie Gaffigan,1
Jeb Stuart,2
Jed Rothstein,1
"Jedd Wider,Todd Wider",1
Jee-woon Kim,4
Jeff Baena,4
Jeff Blyth,1
Jeff Cassidy,1
Jeff Chan,1
"Jeff Chan,Andrew Rhymer",1
Jeff Daniels,2
Jeff Feuerzeig,1
Jeff Franklin,1
"Jeff Gillen,Alan Ormsby",1
"Jeff Malmberg,Chris Shellen",1
Jeff Margolis,1
Jeff Nichols,2
Jeff Orlowski,1
Jeff Pollack,1
Jeff Preiss,1
Jeff Tremaine,2
Jeff Unay,1
Jeff Warrick,1
Jeffrey D. Brown,1
Jeffrey Donovan,1
Jeffrey Hornaday,1
Jeffrey Radice,1
Jeffrey Schwarz,3
Jeffrey St. Jules,1
Jeffrey Walker,2
"Jen Soska,Sylvia Soska",1
Jenna Cato Bass,1
Jenna Laurenzo,1
"Jenner Furst,Julia Willoughby Nason",1
Jennifer Baichwal,1
"Jennifer Baichwal,Edward Burtynsky",1
"Jennifer Baichwal,Nicholas de Pencier",1
Jennifer Gerber,1
Jennifer Kaytin Robinson,1
Jennifer Kent,1
Jennifer M. Kroot,1
Jennifer Peedom,1
Jennifer Phang,1
Jennifer Reeder,1
Jennifer Westfeldt,1
Jennifer Yuh Nelson,1
Jenny Gage,2
Jeong-beom Lee,2
Jeppe Rønde,1
Jeremiah S. Chechik,1
Jeremiah Zagar,2
"Jeremy Coon,Tim Skousen",1
"Jeremy Degruson,Ben Stassen",1
"Jeremy Degruson,Ben Stassen,Mimi Maynard",1
Jeremy Gardner,1
Jeremy Gosch,1
Jeremy Haft,1
Jeremy Kagan,1
Jeremy Kenyon Lockyer Corbell,1
Jeremy Leven,1
Jeremy O'Keefe,1
Jeremy Podeswa,1
Jeremy Rush,1
"Jeremy S. Levine,Landon Van Soest",1
Jeremy Saulnier,4
Jeremy Sims,2
Jeremy Snead,1
Jeremy Workman,1
Jerrold Tarog,1
Jerry Lewis,2
Jerry London,1
Jerry Rothwell,1
Jerry Zucker,1
Jerzy Skolimowski,3
Jesper Ganslandt,1
Jesse Dylan,1
"Jesse Holland,Andy Mitton",1
Jesse Peretz,2
Jesse V. Johnson,3
Jesse Zwick,1
Jessica Habie,1
Jessica Hausner,1
Jessica M. Thompson,1
Jessica Yu,1
Jessie Nelson,1
Jessy Terrero,1
Jesús Franco,2
Jesús Garay,1
Jeta Amata,1
Ji-hoon Kim,1
"Jill Bauer,Ronna Gradus",1
"Jill Culton,Todd Wilderman",1
Jill Soloway,1
Jillian Schlesinger,1
Jim Abrahams,1
"Jim Abrahams,David Zucker,Jerry Zucker",1
"Jim Brown,Gary Burns",1
Jim Cummings,1
Jim Fall,1
Jim Field Smith,1
Jim Hemphill,2
Jim Henson,2
Jim Hosking,1
Jim Hubbard,1
Jim Jarmusch,2
Jim Kammerud,1
"Jim Kammerud,Brian Smith",2
Jim McBride,1
Jim Mickle,3
Jim O'Hanlon,1
Jim Sheridan,1
Jim Strouse,1
Jim Wynorski,2
"Jimmy Chin,Elizabeth Chai Vasarhelyi",2
Jimmy Hayward,1
"Jimmy Hayward,Steve Martino",1
Jimmy Henderson,1
Jimmy Huston,1
Jimmy Loweree,1
"Jimmy T. Murakami,Roger Corman",1
Jing Wu,1
Joachim Rønning,1
"Joachim Rønning,Espen Sandberg",1
Joachim Trier,2
Joan Carr-Wiggin,1
Joan Kron,1
Joanna Hogg,3
"Jocelyn DeBoer,Dawn Luebbe",1
Jocelyn Moorhouse,1
Jocelyn Towne,1
Jodie Foster,1
Jodie Markell,1
Jody Hill,2
Jody Lee Lipes,1
Jody Shapiro,1
Joe Begos,1
Joe Berlinger,3
"Joe Berlinger,Bruce Sinofsky",3
Joe Camp,2
"Joe Cross,Kurt Engfehr",1
Joe Dante,1
"Joe Dante,Eric Goldberg",1
"Joe Dietsch,Louie Gibson",1
Joe Giannone,1
Joe Johnston,3
Joe Lynch,1
Joe Maggio,1
Joe Manganiello,1
Joe Mantegna,1
"Joe Murray,Cosmo Segurson",1
Joe Nussbaum,2
"Joe Pearlman,David Soutar",1
Joe Penna,1
Joe Piscatella,1
Joe Robert Cole,1
Joe Stephenson,1
Joe Swanberg,3
Joe Talbot,1
Joe Wright,1
"Joel Gallen,Tig Notaro",1
Joel Heath,1
Joel Oliansky,1
Joel Potrykus,2
Joel Schumacher,2
Joel Surnow,1
"Joey Figueroa,Zak Knutson",1
Joey Kuhn,1
Johanna Demetrakas,1
Johannes Roberts,3
John A. Davis,2
John Alan Simon,1
John Andreas Andersen,1
John Badham,2
John Borowski,1
"John Bruno,Ray Quint,Andrew Wight",1
John Burgess,1
John Butler,1
John Cameron Mitchell,1
John Carpenter,2
"John Carpenter,Tobe Hooper,Larry Sulkis",1
John Carroll Lynch,1
John Chester,1
John Cornell,1
John Cromwell,3
John Crowley,2
John Curran,1
John Daly,1
John De Bello,1
John Dower,1
John Duigan,4
John Elias Michalakis,1
"John Eng,Norton Virgien",1
John Erick Dowdle,2
John Fawcett,1
John Ford,2
John Fortenberry,1
John Frankenheimer,1
John Hardwick,1
John Harrison,1
John Hazlett,1
John Herzfeld,1
John Hillcoat,1
John Hough,3
John Huddles,1
John Hughes,1
John Huston,3
John Hyams,1
John Irvin,3
"John Jarratt,Kaarin Fairfax",1
John Kafka,1
John Kaye,1
John Krasinski,1
John Laing,1
John Landis,2
John Lasseter,1
"John Lasseter,Andrew Stanton",1
"John Lasseter,Ash Brannon,Lee Unkrich",1
"John Lasseter,Bradford Lewis",1
"John Lasseter,Joe Ranft",1
John Lee,1
John Lee Hancock,2
John Lemont,1
"John Lounsbery,Wolfgang Reitherman,Art Stevens",1
"John Lounsbery,Wolfgang Reitherman,Ben Sharpsteen",1
John Luessenhop,1
John Maclean,1
John Madden,1
John Magary,1
John Maringouin,1
John McPhail,1
John McTiernan,1
John Michael McDonagh,1
John Milius,2
John Moffitt,1
John N. Smith,1
John Pasquin,2
John Pogue,1
John Poliquin,1
John Polson,2
John Putch,1
John R. Leonetti,1
John Rich,1
John Ridley,1
John Sayles,5
John Scheinfeld,1
John Schlesinger,2
John Schultz,3
John Singleton,1
John Stevenson,1
John Stockwell,3
"John Stockwell,Paulette Victor-Lifton",1
John Suits,2
John Swanbeck,1
John Turturro,1
John V. Knowles,1
John V. Soto,1
John Walsh,1
John Waters,1
John Wayne,1
John Wells,1
John-Luke Montias,1
Johnnie To,2
Johnny Kevorkian,1
Johnny Martin,1
Jon Alpert,1
Jon Amiel,2
Jon Avnet,1
Jon Brewer,2
Jon Cvack,1
Jon Favreau,3
Jon Greenhalgh,1
Jon Gunn,1
"Jon Gunn,Brian Herzlinger,Brett Winn",1
Jon Harris,1
Jon J. Whelan,1
"Jon Knautz,Trevor Matthews",2
Jon Long,1
"Jon Lucas,Scott Moore",1
Jon M. Chu,1
Jon Manning,1
"Jon Olb,Madeleine Parry",1
Jon Poll,1
Jon Schnitzer,1
Jon Shear,1
Jon Shenk,1
Jon Strong,1
Jon Turteltaub,2
Jon Watts,1
Jon Wright,2
Jonah Hill,1
Jonas Åkerlund,4
Jonathan Berman,1
Jonathan Demme,4
Jonathan Frakes,1
Jonathan Gershfield,1
Jonathan Glazer,1
Jonathan Helpert,1
Jonathan Hensleigh,1
Jonathan Holiff,1
Jonathan Kaplan,1
Jonathan Kasdan,1
Jonathan Levine,2
Jonathan Liebesman,1
Jonathan Lim,1
Jonathan Lynn,1
"Jonathan Milott,Cary Murnion",1
Jonathan Mostow,2
Jonathan Newman,1
Jonathan Prince,1
Jonathan Smith,1
Jonathan Sobol,1
Jonathan Teplitzky,1
Jonathan Wacks,1
Jong-Yeol Baek,1
Jong-bin Yoon,1
Jong-hyun Kim,1
Jordan Blady,1
Jordan Rubin,1
Jordan Vogt-Roberts,1
Jordana Spiro,1
"Jorge Blanco,Javier Abad,Marcos Martínez",1
Jorge Grau,1
Joseph Cedar,1
Joseph Cross,1
"Joseph Frank,Zachary Reed",1
Joseph Graham,1
Joseph Green,1
Joseph H. Lewis,1
Joseph Infantolino,1
Joseph Kosinski,2
Joseph Losey,1
Joseph Mazzello,1
Joseph Ruben,1
Joseph Sargent,2
Joseph Zito,1
Josephine Decker,1
"Josh Barrett,Marc Menchaca",1
Josh C. Waller,1
Josh Cooley,1
Josh F. Huber,1
Josh Forbes,1
Josh Gilbert,1
Josh Greenbaum,3
Josh Johnson,1
Josh Lawson,1
Josh Locy,1
"Josh Lowell,Peter Mortimer",1
Josh Mendoza,1
Josh Mond,1
Josh Radnor,1
Josh Rubin,1
Josh Schwartz,1
Joshua Logan,2
Joshua Marston,1
Joshua Oppenheimer,1
"Joshua Oppenheimer,Anonymous,Christine Cynn",1
Joshua Rous,1
Joshua Z Weinstein,1
Joss Whedon,2
José Luis Guerín,1
José Manuel Cravioto,1
José Pedro Lopes,1
Josée Dayan,1
Jota Linares,1
Joyce Bernal,1
Juan Carlos Fresnadillo,1
"Juan Carlos Maneglia,Tana Schémbori",1
Juan Carlos Medina,1
"Juan Pablo Rebella,Pablo Stoll",1
Juan Piquer Simón,1
Juan Solanas,2
Juanita Wilson,1
Judy Hecht Dumontet,1
Jules Dassin,2
Jules Stewart,1
Julia Dyer,1
Julia Hart,2
Julia Solomonoff,1
Julian Branciforte,1
Julian Fellowes,1
Julian Jarrold,2
Julie Anne Robinson,1
"Julie Cohen,Betsy West",1
Julie Delpy,1
Julien Nitzberg,1
Julien Temple,1
Julio Medem,1
Julio Quintana,1
Julio Soto Gurpide,1
Julius Avery,1
Julius Onah,2
Julius Ramsay,1
Jun Falkenstein,1
"Jun Falkenstein,Alex Mann,Bradley Raymond,Toby Shelton,Bill Speers",1
Justin Barber,1
"Justin Bare,Matthew Miele",1
"Justin Benson,Aaron Moorhead",2
Justin Chon,1
Justin Kelly,1
Justin Kurzel,1
Justin Lee,1
Justin McConnell,2
Justin Reardon,1
"Justin Schein,David Mehlman",1
Justin Schwarz,1
Justin Simien,1
Justin Trefgarne,1
Justin Zackham,1
"Juuso Laatio,Jukka Vidgren",1
János Edelényi,1
Jérémy Clapin,1
Jérôme Bonnell,1
Kabir Khan,1
Kamal Ahmed,1
Kanu Behl,1
Kar-Wai Wong,2
Karan Johar,3
Karen Leigh Hopkins,1
Karen Moncrieff,2
Karey Kirkpatrick,1
"Karim Amer,Jehane Noujaim",1
Karim Aïnouz,1
Karl Geurs,1
Karthik Subbaraj,1
Karyn Kusama,3
Kasper Barfoed,1
Kasper Collin,1
Kasra Farahani,1
Kat Coiro,1
Kate Barker-Froyland,1
Kate Hickey,1
Kate Montgomery,1
Kate Novack,1
Katherine Dieckmann,1
"Katherine Fairfax Wright,Malika Zouhali-Worrall",1
Kathleen Hepburn,1
"Kathleen Hepburn,Elle-Máijá Tailfeathers",1
Kathryn Bigelow,2
"Kathryn Bigelow,Monty Montgomery",1
Katie Aselton,2
"Katie Graham,Andrew Matthews",1
"Katie Green,Carlye Rubin",1
Katja von Garnier,1
Katsuhiro Ôtomo,1
"Katy Chevigny,Ross Kauffman",1
Kavi Raz,1
Kazuya Shiraishi,1
Keanu Reeves,1
Keenen Ivory Wayans,1
Kees Van Oostrum,1
"Keiichi Hara,Stephanie Sheh,Michael Sinterniklaas",1
Keir Burrows,1
Keith Arem,1
Keith Melton,1
"Keith Scholey,Alastair Fothergill",1
Kelly Asbury,1
"Kelly Asbury,Lorna Cook",1
"Kelly Daniela Norris,T.W. Pittman",1
Kelly Fremon Craig,1
Kelly Reichardt,3
Kelvin Tong,1
"Ken Burns,Sarah Burns,David McMahon",1
Ken Finkleman,1
Ken Hughes,2
Ken Kwapis,2
Ken Loach,2
Ken Marino,2
Ken Ochiai,1
Ken Scott,1
Kenneth A. Carlson,1
Kenneth Branagh,2
Kenneth Lonergan,2
Kenny Leon,1
Kenny Ortega,9
Kenny Riches,1
Kent Jones,1
"Kentucker Audley,Albert Birney",1
Kerem Sanga,1
Keren Yedaya,1
Kevan Funk,1
Keven McAlester,1
Kevin Asch,1
Kevin Billington,1
Kevin Bray,1
Kevin Connor,1
"Kevin Deters,Stevie Wermers",1
Kevin DiNovis,1
Kevin Fitzgerald,1
"Kevin Goetz,Michael Goetz",1
Kevin Greutert,2
Kevin Hooks,2
Kevin Keating,1
"Kevin Kölsch,Dennis Widmyer",2
Kevin Lima,2
Kevin Macdonald,3
Kevin Mazur,1
Kevin McMullin,1
Kevin Phillips,1
"Kevin R. Adams,Joe Ksander,Ricardo Curtis",1
Kevin Rodney Sullivan,2
Kevin Smith,5
Kevin Tenney,1
Kevin Tent,1
Kevin Tostado,1
Kevin Willmott,1
Khoa Le,1
"Khurram H. Alavi,Ayman Jamal",1
Ki-duk Kim,1
"Kief Davidson,Richard Ladkani",1
Kieran Darcy-Smith,1
Kieran Evans,1
"Kieran Mulroney,Michele Mulroney",1
Kiké Maíllo,1
Kim Chapiron,1
Kim Farrant,2
Kimberly Peirce,1
Kimble Rendall,1
King Vidor,1
"Kinji Fukasaku,Sadao Nakajima,Jun'ya Satô",1
Kiran Rao,1
Kirby Dick,2
"Kirby Dick,Amy Ziering",1
Kirill Serebrennikov,1
"Kirk DeMicco,Chris Sanders",1
Kirsten Sheridan,1
Kirsten Tan,1
"Kirsty de Garis,Timothy Jolley",1
Kitty Green,1
Kiyoshi Kurosawa,2
Klaus Härö,1
Klay Hall,1
Klim Shipenko,1
Koki Shigeno,1
Koldo Serra,1
Konrad Begg,1
Koratala Siva,1
Kranti Kanadé,1
Kris Koenig,1
"Kris Pearn,Cory Evans,Rob Lodermeier",1
Kristian Levring,1
"Kristina Goolsby,Ashley York",1
"Kristina Grozeva,Petar Valchanov",1
Kristjan Thor,1
Kristoffer Nyholm,1
Kriv Stenders,2
Krzysztof Kieslowski,1
Kunal Kohli,2
Kunihiko Yuyama,1
Kuo-Fu Chen,1
Kurt Kuenne,1
Kurt Vincent,1
Kurt Voelker,1
Kurt Wimmer,1
Kwang-Hyun Park,1
Kyle Newacheck,2
Kyle Newman,1
Kyle Patrick Alvarez,1
Kyle Rideout,1
Kyle Wilamowski,1
Kyoko Miyake,1
Kyzza Terrazas,1
Laetitia Colombani,1
Lajos Koltai,1
"Lana Wachowski,Lilly Wachowski",4
Lana Wilson,1
Lance Bangs,2
Larry Charles,1
Larry Clark,3
Larry Cohen,2
"Larry Cohen,Fred Williamson",1
Larry David,1
Larry Fessenden,3
Larry Peerce,2
Larry Weinstein,1
Lars Klevberg,1
Lars von Trier,2
Larysa Kondracki,1
Laslo Benedek,1
Lasse Hallström,4
"Lasse Hallström,Joe Johnston",1
"Laura Alvea,Jose F. Ortuño",1
Laura Bialis,1
Laura Bispuri,1
Laura Brownson,1
"Laura Dunn,Jef Sewell",1
Laura Terruso,1
