Directors,Title
André Téchiné,1
André Øvredal,1
Andrés Baiz,1
Andrés Couturier,1
"Andy Bichlbaum,Mike Bonanno,Laura Nix",1
Andy Capper,1
Andy De Emmony,1
Andy Fickman,3
Andy Goddard,1
"Andy Heathcote,Heike Bachelier",1
Andy Palmer,1
Andy Serkis,2
Andy Tennant,3
Anees Bazmee,2
Ang Lee,1
Angad Aulakh,1
Angad Bhalla,1
Angela Robinson,2
Angelina Jolie,3
Angelina Maccarone,1
Angus MacLachlan,1
Aniruddha Roy Chowdhury,1
Anita Doron,1
Ann Deborah Fishman,1
Ann Hui,2
Anna Biller,1
"Anna Boden,Ryan Fleck",2
Anna Mastro,1
Anna Muylaert,1
Anna Rose Holmer,1
Anne Bass,1
"Anne Bogart,Holly Morris",1
Anne Fletcher,1
Anne Fontaine,1
Annette Haywood-Carter,1
"Annie J. Howell,Lisa Robinson",1
"Annika Iltis,Timothy James Kane",1
Anocha Suwichakornpong,1
Anthony Asquith,1
Anthony Burns,1
Anthony Byrne,1
Anthony C. Ferrante,5
"Anthony Caronna,Alexander Smith",1
Anthony D'Souza,1
Anthony Hemingway,1
Anthony Lucero,1
Anthony Mann,1
Anthony Maras,1
Anthony Perkins,1
Anthony Powell,1
"Anthony Russo,Joe Russo",4
"Anthony Scott Burns,Kevin Kölsch,Nicholas McCarthy,Adam Egypt Mortimer,Gary Shore,Kevin Smith,Sarah Adina Smith,Scott Stewart,Dennis Widmyer",1
Anthony Silverston,1
Anthony Stabley,1
Anthony Wilcox,1
Anthony Wonke,1
Antoine Bardou-Jacquet,1
Antoine Fuqua,2
Anton Corbijn,1
"Anton Corbijn,John Merizalde,Pasqual Gutierrez",1
Antonin Baudry,1
Antonino D'Ambrosio,1
Antonio Isasi-Isasmendi,1
Antonio Tublen,1
Anubhav Sinha,2
Anurag Basu,3
Anurag Kashyap,1
Anurag Singh,1
"Anusha Rizvi,Mahmood Farooqui",1
Aoife McArdle,1
April Mullen,1
Aprill Winney,1
Archie Borders,1
Ari Aster,2
Ari Gold,1
"Ari Issler,Ben Snyder",1
Ari Sandel,2
Aric Avelino,1
Arie Posin,1
Ariel Kleiman,1
Ariel Vromen,2
Arlene Sanford,1
Armand Mastroianni,1
Armando Iannucci,1
Arnab Chaudhuri,1
Arnaud Desplechin,1
Arnaud des Pallières,1
"Aron Gaudet,Gita Pullapilly",1
Arthur Allan Seidelman,1
Arthur Hiller,2
Arthur Hilton,1
Arthur Marks,1
Arthur Penn,1
Asaph Polonsky,1
Asger Leth,1
"Asger Leth,Milos Loncarevic",1
Asghar Farhadi,2
Ashutosh Gowariker,5
Ashwiny Iyer Tiwari,1
Asia Argento,1
Asif Kapadia,2
Ask Hasselbalch,1
Astra Taylor,1
Atanu Mukherjee,1
"Ate de Jong,Emily Harris",1
Athiná-Rachél Tsangári,1
Atom Egoyan,4
Atsuko Hirayanagi,1
Atsushi Funahashi,1
Atul Manjrekar,1
Aubrey Nealon,1
Augustine Frizzell,1
Austin Chick,1
Austin Stark,1
Austin Vesely,1
Ava DuVernay,2
Avi Belkin,1
BJ McDonnell,1
Babak Anvari,2
Babak Jalali,1
Bahman Ghobadi,2
Baillie Walsh,1
Baltasar Kormákur,2
"Barak Goodman,Jamila Ephron",1
Baran bo Odar,2
Barbara Albert,1
"Barbara Peeters,Jimmy T. Murakami",2
Barnaby Southcombe,1
Barnet Bain,1
Barney Clay,1
Barry Avrich,1
Barry Battles,1
Barry Jenkins,2
Barry Levinson,5
Barry Shear,1
Barry Shils,1
Barry Sonnenfeld,1
Barry W. Blaustein,1
Bart Layton,1
Beadie Finzi,1
Becca Gleason,1
Beeban Kidron,1
"Ben Blaine,Chris Blaine",1
Ben Browder,1
Ben C. Lucas,1
Ben Cresciman,1
Ben Gluck,1
Ben Hickernell,1
"Ben Howling,Yolanda Ramke",1
Ben Lear,1
Ben Lewis,1
"Ben Rivers,Ben Russell",1
Ben Shelton,1
"Ben Stassen,Mimi Maynard",1
Ben Wheatley,3
Ben Young,2
Ben Younger,1
Benedict Andrews,2
Benedikt Erlingsson,1
Benjamin Berman,1
Benjamin Statler,1
"Benjamin Turner,Gabe Turner",1
Benjamín Ávila,1
Bennett Miller,1
Benni Diez,1
"Benny Safdie,Josh Safdie",1
Benson Lee,1
Bent-Jorgen Perlmutt,1
Bernard L. Kowalski,1
Bernard Rose,4
Bernardo Ruiz,1
Bert I. Gordon,1
Bert Marcus,1
"Bert Marcus,Cyrus Saidi",1
"Bert,Bertie",1
Bertrand Tavernier,2
Bethany Ashton Wolf,1
Bette Gordon,2
Betty Thomas,1
"Beyoncé,Ed Burke",1
"Bibo Bergeron,Don Paul,Jeffrey Katzenberg",1
Bigas Luna,1
Bill Condon,2
Bill Duke,1
Bill Fishman,1
Bill Gunn,1
Bill Holderman,1
"Bill Jones,Jeff Simpson,Ben Timlett",1
"Bill Jones,Terry Jones,Ben Timlett",1
Bill Oliver,1
Bill Paxton,1
Bill Pohlad,1
Bill Watterson,1
Bille August,1
Bille Woodruff,1
Billy Corben,1
Billy O'Brien,1
Billy Ray,1
Billy Senese,1
Billy Wilder,4
Bing Liu,1
Biyi Bandele,1
Blair Treu,2
Blake Edwards,2
Blitz Bazawule,1
Bo Burnham,2
Bo Mikkelsen,1
Bo Welch,1
Boaz Yakin,2
Bob Byington,3
Bob Clark,2
Bob Giraldi,1
Bob Hathcock,1
"Bob Hercules,Cheri Pugh",1
"Bob Kline,Cullen Blaine,Dale Case,Daniel de la Vega,Barbara Dourmaskin-Case,Rick Leon,Burt Medall,Mitch Rochon",1
Bob Nelson,1
Bob Odenkirk,1
"Bob Persichetti,Peter Ramsey,Rodney Rothman",1
Bob Swaim,1
"Bobby Farrelly,Peter Farrelly",1
Bobby Miller,1
Bobby Roe,2
Bobby Roth,1
Bobcat Goldthwait,3
Bohdan Sláma,3
Bong Joon Ho,4
"Bonni Cohen,Jon Shenk",1
Boots Riley,1
Brad Abrahams,1
Brad Anderson,5
Brad Bird,2
"Brad Bird,Jan Pinkava",1
Brad Coley,1
Brad Furman,1
Brad Leong,1
Brad Mirman,1
Brad Peyton,1
Bradford May,1
Bradley Cooper,1
Bradley Parker,1
Bradley Raymond,4
Brady Corbet,2
Brandon Camp,1
Brandon Cronenberg,1
Brandon Nutt,1
Breck Eisner,1
"Brenda Chapman,Steve Hickner,Simon Wells",1
"Brendan Malloy,Emmett Malloy",1
Brendan Muldowney,1
Brendon Marotta,1
